PROBLEM7-20 PROBLEM7-60 PROBLEM2-20 PROBLEM2-60 PROBLEM1-20 PROBLEM1-60 PROBLEM1-100 PROBLEM5-20 PROBLEM5-60 PROBLEM5-100 PROBLEM2-100 PROBLEM8-20 PROBLEM8-60 PROBLEM6-20 PROBLEM6-60 PROBLEM6-100 PROBLEM3-20 PROBLEM3-60 PROBLEM3-100 START END 
0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 0 0 0 0 0 0 0 9 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 71 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 35 0 0 0 0 0 0 0 0 0 0 0 0 0 30
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 35
0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9
0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
5 1 35 1 64 4 0 5 0 0 0 4 0 10 1 0 3 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
