PROBLEM1-20 PROBLEM1-40 PROBLEM1-100 PROBLEM2-20 PROBLEM2-40 PROBLEM3-20 PROBLEM3-40 PROBLEM6-20 PROBLEM6-40 PROBLEM2-100 PROBLEM7-20 PROBLEM7-40 START END 
0 27 6 0 0 0 0 0 0 0 0 0 0 15
0 0 4 0 0 0 0 0 0 0 0 0 0 25
0 0 0 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 22 0 0 0 0 3 0 0 0 7
0 0 0 0 0 0 0 0 0 0 0 0 0 22
0 0 0 0 0 0 3 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 17 0 0 0 0 5
0 0 0 0 0 0 0 0 0 0 0 0 0 18
0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 2 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 2
48 0 0 32 0 6 0 23 0 0 4 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0
