PROBLEM1-60 PROBLEM1-20 PROBLEM4-20 PROBLEM4-60 PROBLEM2-20 PROBLEM2-60 PROBLEM9-20 PROBLEM9-60 PROBLEM7-20 PROBLEM7-60 PROBLEM1-100 START END 
0 0 0 0 0 0 0 0 0 0 1 0 13
13 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 1 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 6 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 6
0 0 0 0 0 0 0 2 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 0 0 0 0 0 0 0 1 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0
1 15 1 0 6 0 2 0 1 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0
