PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-100 PROBLEM1-80 PROBLEM2-20 PROBLEM2-60 PROBLEM2-40 PROBLEM2-80 PROBLEM2-100 PROBLEM3-20 PROBLEM3-60 PROBLEM3-40 PROBLEM3-80 PROBLEM3-100 START END 
0 114 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
0 0 83 0 0 0 0 0 0 0 0 0 0 0 0 0 31
0 0 0 27 7 0 0 0 0 0 0 0 0 0 0 0 57
0 0 0 0 11 0 0 0 0 0 0 0 0 0 0 0 16
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 13 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 35 0 0 0 0 0 0 0 0
0 0 0 0 0 0 26 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 39 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
0 0 0 0 0 0 0 0 0 0 0 32 10 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 7 13 0 0 4
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10
116 0 0 0 0 18 0 0 0 0 17 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
