PROBLEM1-20 PROBLEM1-40 PROBLEM1-60 PROBLEM1-80 PROBLEM1-100 PROBLEM3-20 PROBLEM3-40 PROBLEM2-20 PROBLEM2-40 PROBLEM2-80 PROBLEM2-60 PROBLEM3-60 PROBLEM3-80 PROBLEM4-20 PROBLEM4-40 PROBLEM4-60 START END 
0 112 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 230
0 0 11 80 0 0 0 0 0 0 0 0 0 0 0 0 0 21
0 0 0 0 15 0 0 0 0 0 0 0 0 0 0 0 0 28
0 0 27 0 9 0 0 0 0 0 0 0 0 0 0 0 0 44
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19
0 0 0 0 0 0 7 0 0 0 0 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0 1
0 0 0 0 0 0 0 0 46 0 0 0 0 0 0 0 0 55
0 0 0 0 0 0 0 0 0 34 0 0 0 0 0 0 0 11
0 0 0 0 0 0 0 0 0 0 26 0 0 0 0 0 0 8
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 24
0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 2
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3
0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 1
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
342 0 0 0 0 15 0 101 0 0 0 0 0 5 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
